zip_code,state,national_district,national_wholesaler,wealth_district,wealth_wholesaler,fi_district,fi_wholesaler,wifi_district,wifi_wholesaler,structure_pattern,wholesalers_in_state,has_commercial_opportunity
00738,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00739,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00740,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00741,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00745,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00751,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00754,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00757,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00765,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00766,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00767,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00769,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00771,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00772,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00773,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00775,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00777,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00778,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00780,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00782,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00783,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00784,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00786,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00791,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00794,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
