scenario,zip_code,state,channel,bundle,district,wholesaler,has_commercial_opportunity
51_total_13n_11wh_24fi_3wifi,19043,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19043,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19043,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19044,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19044,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19044,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19046,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19046,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19046,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19047,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19047,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19047,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19050,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19050,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19050,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19052,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19052,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19052,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19053,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19053,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19053,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19054,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19054,PA,National,N,N_01,R0001,False
51_total_13n_11wh_24fi_3wifi,19054,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19055,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19055,PA,National,N,N_01,R0001,False
51_total_13n_11wh_24fi_3wifi,19055,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19056,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19056,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19056,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19057,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19057,PA,National,N,N_01,R0001,False
51_total_13n_11wh_24fi_3wifi,19057,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19060,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19060,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19060,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19061,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19061,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19061,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19063,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19063,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19063,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19064,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19064,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19064,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19066,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19066,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19066,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19067,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19067,PA,National,N,N_01,R0001,True
51_total_13n_11wh_24fi_3wifi,19067,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19070,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19070,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19070,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19072,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19072,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19072,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19073,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19073,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19073,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19074,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19074,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19074,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19075,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19075,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19075,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19076,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19076,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19076,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19078,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19078,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19078,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19079,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19079,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19079,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19081,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19081,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19081,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19082,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19082,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19082,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19083,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19083,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19083,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19085,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19085,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19085,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19086,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19086,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19086,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19087,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19087,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19087,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19090,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19090,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19090,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19094,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19094,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19094,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19095,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19095,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19095,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19096,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19096,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19096,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19102,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19102,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19102,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19103,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19103,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19103,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19104,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19104,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19104,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19106,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19106,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19106,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19107,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19107,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19107,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19108,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19108,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19108,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19109,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19109,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19109,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19111,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19111,PA,National,N,N_01,R0001,False
51_total_13n_11wh_24fi_3wifi,19111,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19112,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19112,PA,National,N,N_01,R0001,False
51_total_13n_11wh_24fi_3wifi,19112,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19113,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19113,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19113,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19114,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19114,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19114,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19115,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19115,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19115,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19116,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19116,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19116,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19118,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19118,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19118,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19119,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19119,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19119,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19120,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19120,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19120,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19121,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19121,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19121,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19122,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19122,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19122,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19123,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19123,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19123,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19124,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19124,PA,National,N,N_01,R0001,False
51_total_13n_11wh_24fi_3wifi,19124,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19125,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19125,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19125,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19126,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19126,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19126,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19127,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19127,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19127,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19128,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19128,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19128,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19129,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19129,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19129,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19130,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19130,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19130,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19131,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19131,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19131,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19132,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19132,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19132,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19133,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19133,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19133,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19134,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19134,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19134,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19135,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19135,PA,National,N,N_01,R0001,False
51_total_13n_11wh_24fi_3wifi,19135,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19136,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19136,PA,National,N,N_01,R0001,True
51_total_13n_11wh_24fi_3wifi,19136,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19137,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19137,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19137,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19138,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19138,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19138,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19139,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19139,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19139,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19140,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19140,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19140,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19141,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19141,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19141,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19142,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19142,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19142,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19143,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19143,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19143,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19144,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19144,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19144,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19145,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19145,PA,National,N,N_01,R0001,True
51_total_13n_11wh_24fi_3wifi,19145,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19146,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19146,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19146,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19147,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19147,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19147,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19148,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19148,PA,National,N,N_01,R0001,True
51_total_13n_11wh_24fi_3wifi,19148,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19149,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19149,PA,National,N,N_01,R0001,True
51_total_13n_11wh_24fi_3wifi,19149,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19150,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19150,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19150,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19151,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19151,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19151,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19152,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19152,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19152,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19153,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19153,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19153,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19154,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19154,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19154,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19301,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19301,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19301,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19310,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19310,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19310,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19311,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19311,PA,National,N,N_01,R0001,True
51_total_13n_11wh_24fi_3wifi,19311,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19312,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19312,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19312,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19316,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19316,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19316,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19317,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19317,PA,National,N,N_01,R0001,True
51_total_13n_11wh_24fi_3wifi,19317,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19319,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19319,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19319,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19320,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19320,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19320,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19330,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19330,PA,National,N,N_01,R0001,False
51_total_13n_11wh_24fi_3wifi,19330,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19333,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19333,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19333,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19335,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19335,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19335,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19341,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19341,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19341,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19342,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19342,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19342,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19343,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19343,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19343,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19344,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19344,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19344,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19345,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19345,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19345,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19348,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19348,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19348,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19350,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19350,PA,National,N,N_01,R0001,False
51_total_13n_11wh_24fi_3wifi,19350,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19352,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19352,PA,National,N,N_01,R0001,False
51_total_13n_11wh_24fi_3wifi,19352,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19355,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19355,PA,National,N,N_04,R0004,True
51_total_13n_11wh_24fi_3wifi,19355,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19358,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19358,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19358,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19362,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19362,PA,National,N,N_01,R0001,False
51_total_13n_11wh_24fi_3wifi,19362,PA,Wealth,WH,WH_11,R0024,False
51_total_13n_11wh_24fi_3wifi,19363,PA,FI,FI,FI_13,R0037,True
51_total_13n_11wh_24fi_3wifi,19363,PA,National,N,N_01,R0001,True
51_total_13n_11wh_24fi_3wifi,19363,PA,Wealth,WH,WH_11,R0024,True
51_total_13n_11wh_24fi_3wifi,19365,PA,FI,FI,FI_13,R0037,False
51_total_13n_11wh_24fi_3wifi,19365,PA,National,N,N_04,R0004,False
51_total_13n_11wh_24fi_3wifi,19365,PA,Wealth,WH,WH_11,R0024,False
