scenario,zip_code,state,channel,bundle,district,wholesaler,has_commercial_opportunity
51_total_13n_11wh_24fi_3wifi,01034,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01034,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01035,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01035,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01035,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01036,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01036,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01036,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01037,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01037,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01037,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01038,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01038,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01038,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01039,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01039,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01039,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01040,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01040,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01040,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01050,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01050,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01050,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01053,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01053,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01053,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01054,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01054,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01054,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01056,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01056,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01056,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01057,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01057,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01057,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01060,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01060,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01060,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01062,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01062,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01062,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01063,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01063,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01063,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01066,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01066,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01066,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01068,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01068,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01068,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01069,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01069,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01069,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01070,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01070,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01070,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01071,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01071,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01071,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01072,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01072,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01072,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01073,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01073,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01073,MA,Wealth,WH,WH_07,R0020,False
