scenario,zip_code,current_channel,state,model_channel,district,district_channels,rep
Group 1 Exact National (14 N),01144,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01144,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01144,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01144,WH,MA,WH,other,,
Group 1 Exact National (14 N),01144,FI,MA,FI,other,,
Group 1 Exact National (14 N),01201,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01201,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01201,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01201,WH,MA,WH,other,,
Group 1 Exact National (14 N),01201,FI,MA,FI,other,,
Group 1 Exact National (14 N),01238,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01238,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01238,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01238,WH,MA,WH,other,,
Group 1 Exact National (14 N),01238,FI,MA,FI,other,,
Group 1 Exact National (14 N),01373,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01373,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01373,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01373,WH,MA,WH,other,,
Group 1 Exact National (14 N),01373,FI,MA,FI,other,,
Group 1 Exact National (14 N),01420,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01420,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01420,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01420,WH,MA,WH,other,,
Group 1 Exact National (14 N),01420,FI,MA,FI,other,,
Group 1 Exact National (14 N),01453,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01453,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01453,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01453,WH,MA,WH,other,,
Group 1 Exact National (14 N),01453,FI,MA,FI,other,,
Group 1 Exact National (14 N),01460,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01460,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01460,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01460,WH,MA,WH,other,,
Group 1 Exact National (14 N),01460,FI,MA,FI,other,,
Group 1 Exact National (14 N),01462,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01462,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01462,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01462,WH,MA,WH,other,,
Group 1 Exact National (14 N),01462,FI,MA,FI,other,,
Group 1 Exact National (14 N),01520,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01520,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01520,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01520,WH,MA,WH,other,,
Group 1 Exact National (14 N),01520,FI,MA,FI,other,,
Group 1 Exact National (14 N),01527,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01527,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01527,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01527,WH,MA,WH,other,,
