scenario,zip_code,current_channel,state,model_channel,district,district_channels,rep
Group 1 Exact National (14 N),46202,FI,IN,FI,other,,
Group 1 Exact National (14 N),46204,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46204,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46204,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46204,WH,IN,WH,other,,
Group 1 Exact National (14 N),46204,FI,IN,FI,other,,
Group 1 Exact National (14 N),46208,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46208,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46208,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46208,WH,IN,WH,other,,
Group 1 Exact National (14 N),46208,FI,IN,FI,other,,
Group 1 Exact National (14 N),46219,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46219,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46219,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46219,WH,IN,WH,other,,
Group 1 Exact National (14 N),46219,FI,IN,FI,other,,
Group 1 Exact National (14 N),46220,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46220,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46220,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46220,WH,IN,WH,other,,
Group 1 Exact National (14 N),46220,FI,IN,FI,other,,
Group 1 Exact National (14 N),46224,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46224,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46224,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46224,WH,IN,WH,other,,
Group 1 Exact National (14 N),46224,FI,IN,FI,other,,
Group 1 Exact National (14 N),46226,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46226,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46226,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46226,WH,IN,WH,other,,
Group 1 Exact National (14 N),46226,FI,IN,FI,other,,
Group 1 Exact National (14 N),46227,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46227,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46227,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46227,WH,IN,WH,other,,
Group 1 Exact National (14 N),46227,FI,IN,FI,other,,
Group 1 Exact National (14 N),46229,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46229,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46229,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46229,WH,IN,WH,other,,
Group 1 Exact National (14 N),46229,FI,IN,FI,other,,
Group 1 Exact National (14 N),46236,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46236,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46236,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46236,WH,IN,WH,other,,
Group 1 Exact National (14 N),46236,FI,IN,FI,other,,
Group 1 Exact National (14 N),46237,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46237,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46237,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46237,WH,IN,WH,other,,
Group 1 Exact National (14 N),46237,FI,IN,FI,other,,
Group 1 Exact National (14 N),46239,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46239,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46239,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46239,WH,IN,WH,other,,
Group 1 Exact National (14 N),46239,FI,IN,FI,other,,
Group 1 Exact National (14 N),46240,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46240,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46240,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46240,WH,IN,WH,other,,
Group 1 Exact National (14 N),46240,FI,IN,FI,other,,
Group 1 Exact National (14 N),46250,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46250,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46250,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46250,WH,IN,WH,other,,
Group 1 Exact National (14 N),46250,FI,IN,FI,other,,
Group 1 Exact National (14 N),46254,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46254,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46254,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46254,WH,IN,WH,other,,
Group 1 Exact National (14 N),46254,FI,IN,FI,other,,
Group 1 Exact National (14 N),46256,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46256,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46256,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46256,WH,IN,WH,other,,
Group 1 Exact National (14 N),46256,FI,IN,FI,other,,
Group 1 Exact National (14 N),46260,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46260,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46260,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46260,WH,IN,WH,other,,
Group 1 Exact National (14 N),46260,FI,IN,FI,other,,
Group 1 Exact National (14 N),46268,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46268,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46268,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46268,WH,IN,WH,other,,
Group 1 Exact National (14 N),46268,FI,IN,FI,other,,
Group 1 Exact National (14 N),46304,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46304,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46304,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46304,WH,IN,WH,other,,
Group 1 Exact National (14 N),46304,FI,IN,FI,other,,
Group 1 Exact National (14 N),46307,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46307,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46307,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46307,WH,IN,WH,other,,
Group 1 Exact National (14 N),46307,FI,IN,FI,other,,
Group 1 Exact National (14 N),46310,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46310,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46310,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46310,WH,IN,WH,other,,
Group 1 Exact National (14 N),46310,FI,IN,FI,other,,
Group 1 Exact National (14 N),46311,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46311,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46311,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46311,WH,IN,WH,other,,
Group 1 Exact National (14 N),46311,FI,IN,FI,other,,
Group 1 Exact National (14 N),46321,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46321,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46321,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46321,WH,IN,WH,other,,
Group 1 Exact National (14 N),46321,FI,IN,FI,other,,
Group 1 Exact National (14 N),46322,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46322,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46322,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46322,WH,IN,WH,other,,
Group 1 Exact National (14 N),46322,FI,IN,FI,other,,
Group 1 Exact National (14 N),46323,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46323,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46323,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46323,WH,IN,WH,other,,
Group 1 Exact National (14 N),46323,FI,IN,FI,other,,
Group 1 Exact National (14 N),46342,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46342,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46342,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46342,WH,IN,WH,other,,
Group 1 Exact National (14 N),46342,FI,IN,FI,other,,
Group 1 Exact National (14 N),46350,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46350,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46350,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46350,WH,IN,WH,other,,
Group 1 Exact National (14 N),46350,FI,IN,FI,other,,
Group 1 Exact National (14 N),46360,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46360,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46360,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46360,WH,IN,WH,other,,
Group 1 Exact National (14 N),46360,FI,IN,FI,other,,
Group 1 Exact National (14 N),46368,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46368,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46368,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46368,WH,IN,WH,other,,
Group 1 Exact National (14 N),46368,FI,IN,FI,other,,
Group 1 Exact National (14 N),46373,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46373,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46373,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46373,WH,IN,WH,other,,
Group 1 Exact National (14 N),46373,FI,IN,FI,other,,
Group 1 Exact National (14 N),46375,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46375,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46375,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46375,WH,IN,WH,other,,
Group 1 Exact National (14 N),46375,FI,IN,FI,other,,
Group 1 Exact National (14 N),46383,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46383,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46383,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46383,WH,IN,WH,other,,
Group 1 Exact National (14 N),46383,FI,IN,FI,other,,
Group 1 Exact National (14 N),46385,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46385,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46385,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46385,WH,IN,WH,other,,
Group 1 Exact National (14 N),46385,FI,IN,FI,other,,
Group 1 Exact National (14 N),46410,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46410,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46410,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46410,WH,IN,WH,other,,
Group 1 Exact National (14 N),46410,FI,IN,FI,other,,
Group 1 Exact National (14 N),46504,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46504,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46504,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46504,WH,IN,WH,other,,
Group 1 Exact National (14 N),46504,FI,IN,FI,other,,
Group 1 Exact National (14 N),46506,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46506,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46506,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46506,WH,IN,WH,other,,
Group 1 Exact National (14 N),46506,FI,IN,FI,other,,
Group 1 Exact National (14 N),46514,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46514,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46514,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46514,WH,IN,WH,other,,
Group 1 Exact National (14 N),46514,FI,IN,FI,other,,
Group 1 Exact National (14 N),46516,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46516,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46516,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46516,WH,IN,WH,other,,
Group 1 Exact National (14 N),46516,FI,IN,FI,other,,
Group 1 Exact National (14 N),46517,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46517,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46517,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46517,WH,IN,WH,other,,
Group 1 Exact National (14 N),46517,FI,IN,FI,other,,
Group 1 Exact National (14 N),46526,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46526,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46526,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46526,WH,IN,WH,other,,
Group 1 Exact National (14 N),46526,FI,IN,FI,other,,
Group 1 Exact National (14 N),46528,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46528,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46528,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46528,WH,IN,WH,other,,
Group 1 Exact National (14 N),46528,FI,IN,FI,other,,
Group 1 Exact National (14 N),46530,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46530,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46530,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46530,WH,IN,WH,other,,
Group 1 Exact National (14 N),46530,FI,IN,FI,other,,
Group 1 Exact National (14 N),46544,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46544,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46544,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46544,WH,IN,WH,other,,
Group 1 Exact National (14 N),46544,FI,IN,FI,other,,
Group 1 Exact National (14 N),46545,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46545,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46545,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46545,WH,IN,WH,other,,
Group 1 Exact National (14 N),46545,FI,IN,FI,other,,
Group 1 Exact National (14 N),46550,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46550,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46550,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46550,WH,IN,WH,other,,
Group 1 Exact National (14 N),46550,FI,IN,FI,other,,
Group 1 Exact National (14 N),46563,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46563,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46563,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46563,WH,IN,WH,other,,
Group 1 Exact National (14 N),46563,FI,IN,FI,other,,
Group 1 Exact National (14 N),46580,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46580,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46580,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46580,WH,IN,WH,other,,
Group 1 Exact National (14 N),46580,FI,IN,FI,other,,
Group 1 Exact National (14 N),46582,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46582,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46582,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46582,WH,IN,WH,other,,
Group 1 Exact National (14 N),46582,FI,IN,FI,other,,
Group 1 Exact National (14 N),46601,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46601,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46601,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46601,WH,IN,WH,other,,
Group 1 Exact National (14 N),46601,FI,IN,FI,other,,
Group 1 Exact National (14 N),46614,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46614,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46614,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46614,WH,IN,WH,other,,
Group 1 Exact National (14 N),46614,FI,IN,FI,other,,
Group 1 Exact National (14 N),46637,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46637,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46637,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46637,WH,IN,WH,other,,
Group 1 Exact National (14 N),46637,FI,IN,FI,other,,
Group 1 Exact National (14 N),46703,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46703,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46703,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46703,WH,IN,WH,other,,
Group 1 Exact National (14 N),46703,FI,IN,FI,other,,
Group 1 Exact National (14 N),46706,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46706,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46706,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46706,WH,IN,WH,other,,
Group 1 Exact National (14 N),46706,FI,IN,FI,other,,
Group 1 Exact National (14 N),46714,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46714,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46714,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46714,WH,IN,WH,other,,
Group 1 Exact National (14 N),46714,FI,IN,FI,other,,
Group 1 Exact National (14 N),46725,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46725,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46725,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46725,WH,IN,WH,other,,
Group 1 Exact National (14 N),46725,FI,IN,FI,other,,
Group 1 Exact National (14 N),46733,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46733,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46733,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46733,WH,IN,WH,other,,
Group 1 Exact National (14 N),46733,FI,IN,FI,other,,
Group 1 Exact National (14 N),46741,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46741,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46741,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46741,WH,IN,WH,other,,
Group 1 Exact National (14 N),46741,FI,IN,FI,other,,
Group 1 Exact National (14 N),46750,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46750,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46750,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46750,WH,IN,WH,other,,
Group 1 Exact National (14 N),46750,FI,IN,FI,other,,
Group 1 Exact National (14 N),46755,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46755,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46755,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46755,WH,IN,WH,other,,
Group 1 Exact National (14 N),46755,FI,IN,FI,other,,
Group 1 Exact National (14 N),46761,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46761,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46761,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46761,WH,IN,WH,other,,
Group 1 Exact National (14 N),46761,FI,IN,FI,other,,
Group 1 Exact National (14 N),46802,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46802,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46802,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46802,WH,IN,WH,other,,
Group 1 Exact National (14 N),46802,FI,IN,FI,other,,
Group 1 Exact National (14 N),46804,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46804,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46804,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46804,WH,IN,WH,other,,
Group 1 Exact National (14 N),46804,FI,IN,FI,other,,
Group 1 Exact National (14 N),46805,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46805,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46805,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46805,WH,IN,WH,other,,
Group 1 Exact National (14 N),46805,FI,IN,FI,other,,
Group 1 Exact National (14 N),46808,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46808,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46808,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46808,WH,IN,WH,other,,
Group 1 Exact National (14 N),46808,FI,IN,FI,other,,
Group 1 Exact National (14 N),46809,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46809,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46809,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46809,WH,IN,WH,other,,
Group 1 Exact National (14 N),46809,FI,IN,FI,other,,
Group 1 Exact National (14 N),46815,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46815,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46815,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46815,WH,IN,WH,other,,
Group 1 Exact National (14 N),46815,FI,IN,FI,other,,
Group 1 Exact National (14 N),46818,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46818,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46818,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46818,WH,IN,WH,other,,
Group 1 Exact National (14 N),46818,FI,IN,FI,other,,
Group 1 Exact National (14 N),46825,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46825,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46825,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46825,WH,IN,WH,other,,
Group 1 Exact National (14 N),46825,FI,IN,FI,other,,
Group 1 Exact National (14 N),46845,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46845,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46845,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46845,WH,IN,WH,other,,
Group 1 Exact National (14 N),46845,FI,IN,FI,other,,
Group 1 Exact National (14 N),46902,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46902,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46902,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46902,WH,IN,WH,other,,
Group 1 Exact National (14 N),46902,FI,IN,FI,other,,
Group 1 Exact National (14 N),46923,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46923,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46923,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46923,WH,IN,WH,other,,
Group 1 Exact National (14 N),46923,FI,IN,FI,other,,
Group 1 Exact National (14 N),46947,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46947,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46947,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46947,WH,IN,WH,other,,
Group 1 Exact National (14 N),46947,FI,IN,FI,other,,
Group 1 Exact National (14 N),46952,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46952,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46952,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46952,WH,IN,WH,other,,
Group 1 Exact National (14 N),46952,FI,IN,FI,other,,
Group 1 Exact National (14 N),46975,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46975,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46975,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46975,WH,IN,WH,other,,
Group 1 Exact National (14 N),46975,FI,IN,FI,other,,
Group 1 Exact National (14 N),46992,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46992,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),46992,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),46992,WH,IN,WH,other,,
Group 1 Exact National (14 N),46992,FI,IN,FI,other,,
Group 1 Exact National (14 N),47006,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),47006,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),47006,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),47006,WH,IN,WH,other,,
Group 1 Exact National (14 N),47006,FI,IN,FI,other,,
Group 1 Exact National (14 N),47021,National (Chase),IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),47021,Wells WH,IN,N_WH,N_05,N,R0005
Group 1 Exact National (14 N),47021,Wells FI,IN,N_FI,N_05,N,R0005
Group 1 Exact National (14 N),47021,WH,IN,WH,other,,
Group 1 Exact National (14 N),47021,FI,IN,FI,other,,
